workerid,A,B,percent,read_and_decide_time,quant,read_time_one,response
0,"""glerb""","""fizzda""",20,1704,"""All""",2143,false
0,"""thonk""","""krangly""",82,2080,"""Some""",1249,false
0,"""slarm""","""briddle""",11,1808,"""None""",2376,true
0,"""klong""","""nooty""",62,1455,"""All""",1064,false
0,"""dring""","""larfy""",28,1864,"""None""",1009,false
0,"""floom""","""plerful""",92,880,"""Some""",679,false
0,"""blek""","""orkital""",54,617,"""None""",744,false
0,"""tenk""","""glurgy""",8,608,"""All""",683,false
0,"""shrile""","""athoid""",54,3913,"""Many""",100,false
0,"""shurry""","""preser""",4,728,"""Most""",657,false
0,"""monter""","""melelt""",45,617,"""Most""",624,false
0,"""shurry""","""preser""",8,769,"""Many""",742,false
0,"""coamin""","""mucond""",14,536,"""Most""",1273,false
0,"""sporer""","""firtly""",29,680,"""Few""",584,true
0,"""gukbar""","""soarse""",10,881,"""Most""",648,false
0,"""isbant""","""unairs""",54,811,"""Fewer than half""",721,false
0,"""bemble""","""squank""",15,664,"""More than half""",2128,false
0,"""bemble""","""squank""",85,584,"""Most""",689,true
0,"""pengyl""","""sedest""",68,632,"""Many""",577,true
0,"""jallem""","""sildal""",20,519,"""More than half""",729,false
0,"""cosutz""","""spover""",82,642,"""More than half""",3853,true
0,"""padnet""","""fanely""",34,625,"""More than half""",673,false
0,"""hadder""","""ollidy""",64,632,"""Many""",593,true
0,"""umpond""","""marire""",83,514,"""Few""",561,false
0,"""padnet""","""fanely""",47,953,"""Many""",1103,true
0,"""pluset""","""stubad""",71,632,"""Fewer than half""",688,false
0,"""birler""","""enciad""",55,1080,"""Many""",888,true
0,"""hadder""","""ollidy""",9,672,"""Few""",632,true
0,"""ancits""","""smeath""",21,497,"""Most""",608,false
0,"""ingell""","""nalill""",82,736,"""Many""",583,true
0,"""middor""","""drooty""",76,592,"""More than half""",1849,true
0,"""pliper""","""sesare""",10,910,"""Few""",665,true
0,"""dorder""","""coggon""",87,809,"""Most""",1065,true
0,"""awplor""","""fasees""",2,536,"""Few""",512,true
0,"""tiklet""","""hullaw""",60,462,"""More than half""",585,true
0,"""clidge""","""hensly""",6,512,"""Fewer than half""",623,true
0,"""coamin""","""mucond""",25,512,"""Fewer than half""",640,true
0,"""spunge""","""wenple""",73,729,"""More than half""",567,true
0,"""zetten""","""unfobs""",19,705,"""Fewer than half""",509,true
0,"""coamin""","""mucond""",65,520,"""Many""",535,true
0,"""padnet""","""fanely""",98,569,"""Most""",519,true
